iter	Passed	Remaining
0	29	29149
1	43	21791
2	55	18566
3	68	17139
4	83	16564
5	96	16047
6	110	15721
7	125	15545
8	138	15247
9	151	15025
10	177	15992
11	189	15593
12	199	15180
13	209	14773
14	221	14557
15	233	14349
16	244	14163
17	257	14042
18	270	13989
19	283	13884
20	298	13908
21	310	13810
22	324	13769
23	338	13781
24	352	13740
25	365	13675
26	379	13686
27	391	13602
28	403	13526
29	416	13478
30	432	13514
31	450	13621
32	467	13706
33	487	13854
34	502	13865
35	516	13818
36	530	13805
37	543	13751
38	554	13665
39	568	13638
40	584	13664
41	598	13654
42	613	13647
43	626	13607
44	638	13554
45	652	13522
46	664	13466
47	676	13423
48	688	13367
49	698	13277
50	710	13219
51	721	13159
52	731	13063
53	742	13005
54	753	12939
55	764	12880
56	777	12859
57	789	12817
58	801	12780
59	812	12725
60	822	12668
61	833	12614
62	843	12544
63	854	12499
64	865	12453
65	876	12400
66	887	12361
67	897	12303
68	907	12243
69	918	12200
70	927	12130
71	937	12080
72	948	12049
73	958	11994
74	970	11964
75	980	11926
76	991	11882
77	1001	11841
78	1012	11804
79	1022	11762
80	1033	11723
81	1042	11675
82	1053	11636
83	1064	11610
84	1076	11587
85	1087	11560
86	1098	11529
87	1109	11493
88	1118	11451
89	1129	11421
90	1138	11372
91	1149	11346
92	1161	11327
93	1174	11316
94	1183	11272
95	1193	11240
96	1204	11213
97	1214	11174
98	1225	11148
99	1235	11123
100	1246	11092
101	1257	11067
102	1267	11037
103	1277	11009
104	1289	10991
105	1301	10975
106	1311	10942
107	1322	10926
108	1335	10914
109	1347	10904
110	1360	10897
111	1374	10901
112	1388	10902
113	1401	10890
114	1413	10879
115	1425	10859
116	1435	10831
117	1445	10806
118	1455	10772
119	1466	10752
120	1475	10719
121	1485	10689
122	1495	10663
123	1505	10637
124	1517	10624
125	1527	10596
126	1537	10569
127	1549	10552
128	1558	10523
129	1568	10498
130	1580	10482
131	1589	10452
132	1601	10439
133	1612	10420
134	1620	10386
135	1631	10363
136	1641	10339
137	1651	10313
138	1662	10295
139	1673	10282
140	1684	10261
141	1697	10256
142	1709	10247
143	1718	10214
144	1729	10197
145	1740	10178
146	1749	10152
147	1761	10140
148	1772	10124
149	1783	10105
150	1796	10101
151	1810	10101
152	1821	10084
153	1835	10082
154	1847	10071
155	1863	10082
156	1878	10086
157	1893	10089
158	1908	10094
159	1923	10100
160	1937	10095
161	1952	10097
162	1967	10101
163	1982	10104
164	1992	10085
165	2008	10090
166	2025	10101
167	2041	10109
168	2057	10118
169	2075	10132
170	2089	10130
171	2103	10124
172	2119	10132
173	2134	10133
174	2147	10126
175	2161	10118
176	2177	10124
177	2190	10117
178	2205	10117
179	2217	10103
180	2234	10109
181	2247	10103
182	2260	10091
183	2274	10088
184	2287	10075
185	2301	10073
186	2315	10068
187	2329	10060
188	2341	10047
189	2354	10037
190	2368	10031
191	2381	10020
192	2393	10007
193	2406	9996
194	2418	9982
195	2431	9972
196	2442	9955
197	2451	9928
198	2461	9908
199	2472	9889
200	2482	9866
201	2493	9849
202	2504	9834
203	2515	9816
204	2524	9790
205	2536	9776
206	2546	9756
207	2555	9731
208	2567	9715
209	2578	9698
210	2589	9681
211	2601	9670
212	2613	9655
213	2623	9637
214	2633	9615
215	2644	9598
216	2653	9575
217	2665	9560
218	2676	9545
219	2685	9522
220	2697	9506
221	2705	9482
222	2715	9462
223	2726	9444
224	2735	9421
225	2747	9409
226	2756	9388
227	2766	9367
228	2777	9352
229	2786	9329
230	2796	9309
231	2806	9290
232	2815	9269
233	2827	9254
234	2837	9236
235	2847	9217
236	2858	9201
237	2867	9180
238	2874	9152
239	2883	9130
240	2890	9104
241	2900	9083
242	2910	9065
243	2920	9047
244	2929	9029
245	2940	9011
246	2948	8989
247	2958	8971
248	2968	8954
249	2977	8933
250	2989	8921
251	3000	8905
252	3009	8885
253	3020	8869
254	3029	8852
255	3039	8834
256	3050	8818
257	3059	8799
258	3070	8784
259	3080	8767
260	3089	8748
261	3100	8734
262	3111	8719
263	3123	8709
264	3136	8699
265	3149	8691
266	3159	8673
267	3170	8659
268	3180	8643
269	3189	8623
270	3202	8613
271	3211	8594
272	3222	8581
273	3233	8568
274	3244	8552
275	3253	8534
276	3264	8521
277	3274	8504
278	3286	8492
279	3298	8482
280	3311	8472
281	3320	8455
282	3332	8442
283	3342	8427
284	3352	8409
285	3364	8398
286	3374	8383
287	3384	8366
288	3396	8356
289	3409	8346
290	3420	8333
291	3432	8322
292	3444	8311
293	3453	8292
294	3464	8278
295	3475	8265
296	3484	8248
297	3496	8237
298	3504	8216
299	3514	8201
300	3527	8192
301	3538	8178
302	3547	8160
303	3559	8149
304	3570	8136
305	3579	8118
306	3591	8107
307	3602	8092
308	3611	8075
309	3621	8060
310	3630	8043
311	3639	8026
312	3650	8012
313	3659	7995
314	3670	7982
315	3679	7964
316	3690	7952
317	3701	7937
318	3710	7921
319	3722	7909
320	3731	7893
321	3741	7878
322	3753	7867
323	3761	7848
324	3772	7835
325	3783	7822
326	3792	7805
327	3803	7791
328	3814	7779
329	3825	7767
330	3835	7753
331	3846	7738
332	3855	7722
333	3864	7705
334	3875	7692
335	3884	7676
336	3895	7663
337	3904	7647
338	3914	7632
339	3925	7620
340	3937	7609
341	3948	7597
342	3959	7584
343	3972	7574
344	3981	7559
345	3994	7549
346	4006	7538
347	4017	7527
348	4028	7514
349	4038	7499
350	4049	7488
351	4061	7476
352	4068	7457
353	4077	7441
354	4088	7428
355	4098	7414
356	4107	7398
357	4118	7385
358	4127	7369
359	4138	7357
360	4147	7342
361	4158	7329
362	4166	7311
363	4175	7295
364	4186	7282
365	4195	7266
366	4206	7255
367	4217	7242
368	4225	7226
369	4236	7212
370	4244	7196
371	4254	7181
372	4264	7168
373	4274	7154
374	4285	7141
375	4295	7128
376	4304	7112
377	4315	7100
378	4326	7088
379	4335	7074
380	4345	7060
381	4354	7044
382	4365	7033
383	4375	7018
384	4384	7003
385	4394	6990
386	4403	6975
387	4414	6962
388	4423	6948
389	4433	6933
390	4443	6921
391	4453	6906
392	4460	6888
393	4468	6873
394	4480	6861
395	4490	6848
396	4496	6830
397	4506	6815
398	4515	6801
399	4526	6790
400	4533	6771
401	4547	6764
402	4559	6754
403	4568	6739
404	4579	6727
405	4589	6714
406	4598	6700
407	4609	6687
408	4619	6674
409	4625	6656
410	4635	6643
411	4645	6629
412	4655	6616
413	4663	6601
414	4673	6588
415	4684	6576
416	4693	6561
417	4703	6548
418	4712	6534
419	4723	6522
420	4733	6509
421	4742	6495
422	4753	6483
423	4761	6468
424	4771	6455
425	4779	6440
426	4790	6428
427	4800	6416
428	4810	6402
429	4820	6389
430	4830	6376
431	4836	6359
432	4845	6345
433	4855	6332
434	4865	6320
435	4875	6306
436	4882	6290
437	4892	6277
438	4902	6264
439	4912	6251
440	4921	6237
441	4928	6222
442	4938	6209
443	4949	6198
444	4959	6184
445	4966	6169
446	4976	6156
447	4987	6144
448	4998	6133
449	5006	6119
450	5016	6106
451	5026	6094
452	5033	6077
453	5043	6065
454	5052	6052
455	5063	6040
456	5074	6029
457	5085	6018
458	5096	6007
459	5106	5994
460	5116	5981
461	5128	5971
462	5138	5959
463	5146	5944
464	5157	5933
465	5165	5918
466	5176	5908
467	5187	5896
468	5195	5881
469	5208	5873
470	5215	5857
471	5224	5843
472	5230	5828
473	5238	5813
474	5245	5798
475	5255	5785
476	5263	5771
477	5274	5759
478	5283	5746
479	5295	5736
480	5304	5723
481	5313	5710
482	5323	5698
483	5333	5685
484	5342	5672
485	5350	5659
486	5360	5646
487	5370	5634
488	5378	5620
489	5390	5610
490	5398	5596
491	5408	5584
492	5417	5571
493	5425	5557
494	5436	5546
495	5444	5532
496	5454	5520
497	5465	5509
498	5474	5496
499	5485	5485
500	5494	5472
501	5504	5460
502	5515	5449
503	5525	5437
504	5535	5425
505	5545	5414
506	5554	5400
507	5563	5388
508	5570	5373
509	5579	5360
510	5586	5345
511	5594	5332
512	5601	5317
513	5611	5305
514	5619	5291
515	5627	5278
516	5633	5263
517	5642	5249
518	5649	5235
519	5657	5221
520	5663	5207
521	5671	5193
522	5678	5179
523	5685	5164
524	5693	5151
525	5700	5136
526	5708	5123
527	5715	5108
528	5723	5095
529	5729	5080
530	5737	5067
531	5743	5052
532	5753	5040
533	5760	5026
534	5771	5016
535	5779	5002
536	5787	4989
537	5794	4975
538	5802	4962
539	5809	4948
540	5817	4935
541	5824	4921
542	5831	4908
543	5838	4894
544	5845	4879
545	5852	4866
546	5858	4852
547	5867	4839
548	5874	4825
549	5883	4813
550	5891	4800
551	5899	4788
552	5907	4775
553	5916	4763
554	5924	4750
555	5932	4737
556	5938	4723
557	5947	4710
558	5954	4697
559	5962	4685
560	5970	4671
561	5978	4659
562	5985	4645
563	5993	4633
564	6000	4619
565	6008	4607
566	6015	4594
567	6022	4580
568	6030	4567
569	6037	4554
570	6045	4542
571	6052	4528
572	6062	4517
573	6070	4505
574	6078	4492
575	6089	4482
576	6098	4470
577	6107	4459
578	6116	4447
579	6125	4435
580	6134	4424
581	6144	4413
582	6154	4401
583	6162	4389
584	6172	4378
585	6179	4365
586	6187	4353
587	6195	4340
588	6202	4328
589	6210	4315
590	6217	4302
591	6224	4290
592	6231	4276
593	6239	4264
594	6245	4251
595	6253	4238
596	6258	4224
597	6266	4212
598	6273	4199
599	6279	4186
600	6287	4174
601	6293	4160
602	6301	4148
603	6307	4135
604	6314	4122
605	6321	4110
606	6328	4097
607	6335	4084
